eventdate;load_n;load_ne;load_seco;load_s;load_t;teq_n;teq_ne;teq_seco;teq_s;teq_t
2003-01-01 00:00:00;27.733999999999998;26.847752247752247;27.31768231768232;25.879799999999996;26.94480864135864;nan;nan;nan;nan;nan
2003-01-02 00:00:00;28.59;27.71428571428571;26.93606393606394;23.982599999999998;26.805737412587412;nan;nan;nan;nan;nan
2003-01-03 00:00:00;28.304000000000002;27.197202797202795;26.202597402597405;23.3248;26.25715004995005;nan;nan;nan;nan;nan
2003-01-04 00:00:00;28.778;27.77562437562437;26.10889110889111;24.7216;26.84602887112887;nan;nan;nan;nan;nan
2003-01-05 00:00:00;28.662;28.208591408591406;26.90509490509491;26.496;27.56792157842158;nan;nan;nan;nan;nan
2003-01-06 00:00:00;30.858;27.813386613386612;26.262937062937066;25.0964;27.50768091908092;nan;nan;nan;nan;nan
2003-01-07 00:00:00;28.402000000000005;27.885114885114884;25.695704295704296;24.443199999999997;26.606504795204795;nan;nan;nan;nan;nan
2003-01-08 00:00:00;28.904;28.0005994005994;25.673926073926072;24.6752;26.813431368631367;nan;nan;nan;nan;nan
2003-01-09 00:00:00;27.7725;27.359640359640355;26.679320679320686;25.171;26.745615259740262;nan;nan;nan;nan;nan
2003-01-10 00:00:00;28.453999999999997;27.578821178821176;28.645754245754247;23.2992;26.994443856143853;nan;nan;nan;nan;nan
2003-01-11 00:00:00;28.348;27.889310689310687;26.12527472527473;24.7262;26.772196353646354;nan;nan;nan;nan;nan
2003-01-12 00:00:00;28.056;27.981618381618382;26.62757242757243;22.6826;26.336947702297703;nan;nan;nan;nan;nan
2003-01-13 00:00:00;28.32;27.646153846153844;25.02597402597403;23.5454;26.134381968031967;nan;nan;nan;nan;nan
2003-01-14 00:00:00;27.856;27.959640359640357;25.17022977022977;23.914199999999997;26.225017532467533;nan;nan;nan;nan;nan
2003-01-15 00:00:00;27.95;27.951448551448546;25.237562437562442;23.974200000000003;26.27830274725275;nan;nan;nan;nan;nan
2003-01-16 00:00:00;27.494000000000003;28.18141858141858;26.262937062937066;24.9414;26.719938911088914;nan;nan;nan;nan;nan
2003-01-17 00:00:00;27.838;27.85074925074925;24.891508491508496;26.2868;26.716764435564436;nan;nan;nan;nan;nan
2003-01-18 00:00:00;27.701999999999998;27.61998001998002;26.970029970029973;25.2008;26.873202497502497;nan;nan;nan;nan;nan
2003-01-19 00:00:00;26.814000000000004;26.844955044955043;26.392207792207792;25.1208;26.29299070929071;nan;nan;nan;nan;nan
2003-01-20 00:00:00;27.404;27.131468531468528;26.910089910089916;25.4296;26.71878961038961;nan;nan;nan;nan;nan
2003-01-21 00:00:00;27.131999999999998;27.376023976023973;26.36643356643357;24.476;26.337614385614387;nan;nan;nan;nan;nan
2003-01-22 00:00:00;27.467999999999996;27.43476523476523;27.039360639360645;24.6556;26.649431468531468;nan;nan;nan;nan;nan
2003-01-23 00:00:00;27.682;27.158841158841156;27.963436563436566;24.837;26.91031943056943;nan;nan;nan;nan;nan
2003-01-24 00:00:00;27.06;27.079120879120882;27.25554445554446;22.131999999999998;25.881666333666335;nan;nan;nan;nan;nan
2003-01-25 00:00:00;27.0;25.0;24.680400890868597;;25.56013363028953;nan;nan;nan;nan;nan
2003-01-26 00:00:00;25.197499999999998;27.074925074925076;24.65984015984016;23.038;24.99256630869131;nan;nan;nan;nan;nan
2003-01-27 00:00:00;26.276;26.45694305694305;25.27212787212788;23.026600000000002;25.25791773226773;nan;nan;nan;nan;nan
2003-01-28 00:00:00;26.892000000000003;27.405994005994003;26.328871128871132;23.9694;26.149066283716284;nan;nan;nan;nan;nan
2003-01-29 00:00:00;27.148;28.07052947052947;24.8991008991009;23.781599999999997;25.974807592407593;nan;nan;nan;nan;nan
2003-01-30 00:00:00;27.983999999999998;27.186013986013982;25.318481518481523;26.000799999999998;26.622323876123875;nan;nan;nan;nan;nan
2003-01-31 00:00:00;26.410000000000004;26.55744255744255;26.47412587412588;27.359199999999998;26.700192107892107;nan;nan;nan;nan;nan
2003-02-01 00:00:00;25.908;26.98221778221778;27.443756243756248;27.016799999999996;26.83769350649351;nan;nan;nan;nan;nan
2003-02-02 00:00:00;25.348000000000003;27.553246753246754;28.27472527472528;27.5056;27.17039300699301;nan;nan;nan;nan;nan
2003-02-03 00:00:00;25.482;27.456743256743255;27.778221778221777;28.4754;27.29809125874126;nan;nan;nan;nan;nan
2003-02-04 00:00:00;25.754;27.439960039960038;27.996603396603398;26.8538;27.011090859140857;nan;nan;nan;nan;nan
2003-02-05 00:00:00;26.131999999999998;26.82757242757243;27.525074925074925;27.0464;26.882761838161837;nan;nan;nan;nan;nan
2003-02-06 00:00:00;26.848;27.22497502497502;27.265934065934072;27.6774;27.254077272727272;nan;nan;nan;nan;nan
2003-02-07 00:00:00;26.734;27.54525474525474;28.145654345654354;24.2608;26.671427272727275;nan;nan;nan;nan;nan
2003-02-08 00:00:00;25.857999999999997;27.36003996003996;28.76003996003996;25.131999999999998;26.777519980019978;nan;nan;nan;nan;nan
2003-02-09 00:00:00;26.248000000000005;26.857942057942058;28.572227772227777;26.435200000000002;27.02834245754246;nan;nan;nan;nan;nan
2003-02-10 00:00:00;26.439999999999998;27.015384615384612;28.35864135864136;25.676;26.872506493506492;nan;nan;nan;nan;nan
2003-02-11 00:00:00;25.834;27.54185814185814;28.448151848151852;26.498199999999997;27.080552497502495;nan;nan;nan;nan;nan
2003-02-12 00:00:00;27.211999999999996;27.090109890109883;28.049350649350654;26.2674;27.154715134865132;nan;nan;nan;nan;nan
